SHA,change,adaptation,coronavirus,morphology,sum
d09827278115fad7feb41c47b6da245f54ba1453,0,0,2,1,3
201e6b41ce9154b6740c2ea4bbb5c7d9702a1987,0,0,2,1,3
3677789674e47d9e9b35f87c659430e5295370e9,0,0,2,1,3
22d303e69cc79f3d72d06e52153b53c6576176cf,0,0,1,3,4
a25c99e62ee57a207f77bcba9f484a2416f11849,0,0,1,1,2
a1213a37009cf0d561bdfe620cbeabf8de2778d1,2,0,1,1,2
2590692fa24c429d02c8d67f6100a132c3915473,0,0,1,1,2
465ce310d1edd953819b77c96fa57e62d8cbc042,0,0,1,1,2
6a0f7cfb9306380e01f35d7f8c0e75c0f91dcbc4,1,1,1,1,2
713f2cff38e6555558825cb304f67eb31c35687f,0,0,1,1,2
6acfca277c3e484c1dead20fc58db53b179c33ab,1,0,1,1,2
e9a8d6b354786129252397c1d8a43621e4fd3ec8,0,0,1,1,2
18e0f53c82db254bfa884517bef263d9e8fecc53,0,0,1,1,2
90b31a2542e2275640ec9dc8264cdf1e975d807e,0,0,1,1,2
81da14090d3f84e13717bd27434bf03dabc32395,0,0,1,1,2
874c67489633255b8ea0b0412f5a9261f5de31cf,0,0,1,1,2
0ea86045c0a8a03ce313440eb1e887f26a85cae3,0,0,1,1,2
03c48d9cb93c2ea10af33a19d217fd81ccb279b6,0,0,1,1,2
