SHA,immune,immunity,response,coronavirus,sum
66a57c2ab4f33de22787725089cb508573481a4e,1,0,1,6,8
079acffe640a3b6e61246bb6873baa4e1227417b,4,0,1,5,10
9761b5e2c50841879b9ec0fff753ec88ece36744,1,0,2,5,8
3b8be6719d642862ae96fc5614e4f555c38f2af2,1,2,2,5,8
8e631c0c0bdbb5cf13818b5b71d39c145b045955,4,0,1,4,9
f5744b3d4ba1315392d02b0fd5af2ecec139efab,1,1,3,4,8
601d3c7ae4ebcd2d835e9cf8d7427ebd0b5db83f,1,0,1,4,6
df353c05aae43b69987088703edbdefa1382ef4d,1,0,1,4,6
d3fb8500862db1ce9cc299443a6d31209fab5602,1,0,1,4,6
459c780b398aa89f292490a6b455845448b7d537,1,0,1,4,6
824e4aebd39a0531625542fb7328917bb061e5a4,4,0,2,3,9
24beb94c313a07be6b0c745a6ca8a3d810618506,2,1,3,3,8
c10d2b72f8d450209946e805ba18154c9a6c5f7f,2,0,1,3,6
d6a34d159840a3895ac1768920a1c498d3c448c6,1,0,1,3,5
ec955d5ff9dc3bdb037e561ee890c4c18fdb4272,1,0,1,3,5
62d7719c3402b89f11ccb6a158dc2812f10bc234,1,0,1,3,5
8b04b876333c5f04650b8f9415d440431abd209c,1,0,2,3,6
2ea9c457b5f33101f1f6c72213806ab1e790e8cb,1,0,1,3,5
cab98f1b37768539e98924c21710fe2133cf1cf0,1,0,1,3,5
948028bf6ac0f66ea490a476c599db04fb42a50f,6,0,2,2,10
c99640294d5862d4482de51f9a442deaf09b53be,6,0,9,2,17
f6f1ec12291f743de1504003929ea654217f2af6,4,0,3,2,9
c08c3b98a956287a6eaf99f6d90969d7dd1410d1,3,0,3,2,8
7aaffdb8cf80ab9dd167a26a44abfa21d30d2af5,3,0,4,2,9
bc7589d2740163d5b95ae28880b8cd38fdcd9a0b,3,0,2,2,7
4e6709b68cb7312fda8a1c5a2b2505d21a38a1e9,2,0,3,2,7
0e23b62f7dca85c31f4f90603d2a28dfc7177947,2,0,3,2,7
89fc23ed55ad474b4b4056c0a3dadd315573f57e,2,0,2,2,6
9ef3e1ca242767cf549d414959705a903f31fa4b,2,0,1,2,5
dcce6e45fd562d7a15633fc5a55aed8d3ce37f49,2,0,3,2,7
181b7b57851e6f58a601b68e613d10c10616f774,1,0,1,2,4
1adf578fb1c7019c2293b2e9c7cc3f036f9bc15b,1,0,2,2,5
f76f29653d5c53667e4a9615ca50f8b94c753d36,1,0,3,2,6
505d4036449010b44702841ae2564d6a55a3fbcd,1,0,3,2,6
300778fc251628966c3c027308a7d3fe5a02f84c,1,0,1,2,4
8590276b817018ff7fea07592055689f3d325d3a,1,2,1,2,4
514e24bfc28e0b5cf4b111d94604e7aa983500c9,1,0,3,2,6
d696b29f67616ddf49b71564181dccf4d1adba9c,1,0,4,2,7
4d1e612e20a20982d6e1a7cd01bccef469cc549f,1,0,1,2,4
715f7c1e1785a66d1fb9961d4585b687448fe97c,1,0,1,2,4
3e7204f7030a9956a95b58d84d283d85229cc117,1,0,1,2,4
65d22c9c8eb2b0cd987ff566f6bc6a1dc7a5211e,1,0,1,2,4
806f2edfbb6e758edf4142e7ac2d359ac4e6018a,1,0,1,2,4
f6525bc180629aca4b0760e0ff9f187f2e2a6fec,1,1,1,2,4
63be870a50a6f2736945462450822bc94c63a254,1,0,1,2,4
603a35b50ca1a29944fce6fa2304f6eb13953f03,1,0,1,2,4
8896df393cbfd2ccde62500c60233cfad6a0d223,1,0,1,2,4
9cb9aa20e0df0b2c63589d0d85b1abeb0eeda1cf,1,0,1,2,4
90c0bd799a1e2db115c04aa6fffa55939558027c,1,0,1,2,4
98d2abc9da8393119f521c4ec133e269379c0d1a,1,0,1,2,4
ec0a48de352326aecc319e76ea1f47b989ffcd8f,1,0,1,2,4
25d0bd17e76d262df4c2948ef2d8a5270f00871a,9,0,4,1,14
626bdb1dc71d8c0111f37d939a62113ae65aa217,7,0,2,1,10
5c51ebd67d7cd75ad59decdf8fd6b07152d37818,7,0,7,1,15
eaf0b5625d1b62b24428f5ba0a8a206a26294ed1,7,0,1,1,9
5cc7d19d8c064e59978daa0699ca18d5b139b0db,6,2,2,1,9
322e9f87ee07bd71dd82ebf7e431c34580feef25,6,1,4,1,11
6e76810fc458772467ba2b8ae159eb486f0cbbac,6,0,6,1,13
f08249cbb9bdfc3b7f103470537a52190c81b974,5,0,2,1,8
2b91f521c12a736203029e85675120740c3c1810,5,2,4,1,10
4930fc9d9e3cb5bea0a97320187aca766f07493d,5,0,1,1,7
bf31e02fc93ca64721215ca7d9eee12f7825d324,5,0,2,1,8
c7e5e64683c8dbf4d6585fd231d20a4d8ee3885e,4,0,1,1,6
57190cc7bf5031d27e19debe1aa16ddf4893f033,4,0,4,1,9
1304ff9ef1cbd2e97a0ee662cebc837da9eb25ca,4,0,5,1,10
48cfc52918bb6109021753c43ea1ae2f75ebaa76,4,0,4,1,9
0dc604b0982055e74bfdf5e79d15784d967b2da0,4,0,5,1,10
b66efefa9936d2e57072fa85682f0fe82876ca82,4,0,5,1,10
0fbe658f410a2d47bd652aae848b8efc11c927c6,4,0,4,1,9
d33817b56a98cb895588efa155ae076ec74ec139,4,3,6,1,11
5d3612cd95331a2f0c43ef9d03ce583b5ff8c995,3,0,1,1,5
d71c2fa8fe1c3df75d031c50267993ede529b85c,3,0,2,1,6
4c9f3df22b058cb0b95c53f12cdffd1c5fe1ce93,3,0,1,1,5
dc38fa3321df5137294140ffe1a358399befb500,3,0,7,1,11
3f8beb2781bb92d1e2fffd8361b1feec3fd834e9,3,0,4,1,8
ee0d298d09635c5ae72d4584fba105a705d25afb,3,0,1,1,5
f5e8e27a130f3239cafe592f4174b290849b0f2f,3,0,3,1,7
5341fd2caa821b2616a8bc85763a608b29cb4947,3,0,3,1,7
a137eb51461b4a4ed3980aa5b9cb2f2c1cf0292a,3,0,2,1,6
55dc3ccae37d88301441558752efbc4700c116e3,3,1,2,1,6
6e7be8a150296b55701950588570b7a56af1df56,3,0,4,1,8
d1b10c067af8e33362698db214cb59eb14e6bf5a,3,0,5,1,9
f05868325b28b8ca52ce8fc733ed12c114a057f7,3,6,3,1,7
a61e707ef1a808123b3c6f542a79373d4315d603,3,2,4,1,8
f19e158ac5ef5fd172df2e9f10bede9f76c31e2d,3,0,3,1,7
251aa85d0c8bd8dcf09af2e7c99cc8da128614d7,3,3,3,1,7
3fdc7c236b854cbc809e10b2cc1628102f5c7e6c,3,0,2,1,6
7c9b0de06457ee197e904b3bc7f312ccb888baa7,3,1,2,1,6
c2af4db8591a8ef84229eb08359c0a50efa24544,2,0,3,1,6
b7b6bf20c919a0b200c528e76f76f508d5554700,2,0,2,1,5
20af160641510a4c79b9a23b06ea83d27ebba059,2,0,2,1,5
f93195034f642c748faae11cb58300881eb7b2bb,2,0,3,1,6
ad71472308fc72f2b3fe0044ac4bc2f08c4481b6,2,0,5,1,8
389612b52a4489f9be2109a5eb0060499a0f7c15,2,0,6,1,9
87d23553b1e4abc9f23750121d6259b10da73387,2,0,2,1,5
3319b5fd5749bba0f2fa25f335cc8c19b351a403,2,0,2,1,5
a138ff680ae9e158019717356e8fcab523e7cad2,2,1,2,1,5
2f8012db8f2100bb1876e19722d6c131849e2315,2,0,1,1,4
c9e24b269c1f1772454a1e93cc72c85251aeda6b,2,5,3,1,6
f2f841111913d49cbbd17e0988fc4f49b06c4945,2,0,2,1,5
0e24e06b66ebf676c3d15bbcaf7120dc60413702,2,1,4,1,7
89c52fc69362dbc2c29ed79aa72928ad14dc4c80,2,0,2,1,5
e63f49d69364214383bb4bd983e941816b11b8da,2,1,4,1,7
b9a8782661a61d1562b8d6a2098fd35c76b35349,2,0,1,1,4
c850a9040414008da523d4ca13b8e61b36e0d98b,2,0,2,1,5
8c9c650f233ed3a031c995a887d8dfbc8b41e78c,2,0,3,1,6
985f2253ef842c0bd15013ac3314061d880d12a4,2,0,2,1,5
d233b4a031a21ce4991d2ce5ef41ca2ab39ec6ac,2,0,2,1,5
4ddcba8a21dabd170334389aabae8b87e0f62ab0,2,0,4,1,7
0dfb48c89f5609eb7c645aad320b3a2c70d07ec7,2,1,3,1,6
c879f8e04f5a31f48a2bb3c4ca8b90321018cdb4,2,0,2,1,5
f8e1836096b394c7dc65a4bcf35027eb49a930d9,2,0,5,1,8
7ba0c95a0fd9545009ff870fa5e317b5c1ad725b,2,1,2,1,5
803ec19b7aa3ceea17714f38f15d1080a36534fd,2,0,1,1,4
bb4df91230a99d430331add3f689d2af441b83a1,2,0,3,1,6
c8cd1309905bf4fc1c0c19a7a290cbc65f7f0e53,2,0,4,1,7
0cf4d4a1e364402ae2242cd5a270b50d25a2dfca,2,0,5,1,8
008cf2148ee4383534191b3736096878cad82c67,2,2,3,1,6
c676f9d897c35f8b5880c43bbed8d0c7d20d8dcf,2,0,2,1,5
2299d886d109d5d0e2b0b8191a452b94d567e522,2,0,2,1,5
57a851ef4ef9c13bc326a9c0e57bd24690694e06,2,2,2,1,5
eb672292b64148c93413db50a61a023707616423,2,0,2,1,5
8e044a44849cc09327a7bc2a0c980fc72e173928,2,0,2,1,5
1015d416b34e81158ed814fcae420fd72ebceca4,2,0,2,1,5
329b4aa757557f56f89d796a0034cd3fe4bf983c,2,0,3,1,6
8b8c48e70ad9167e2f1c424001f26f974e649fea,2,0,4,1,7
db62fd6b84343b99481844819771b365f9e2bf18,2,0,2,1,5
517e4d60093973663e37dba2969be6d7e76fbd30,2,0,5,1,8
4a381459a5a244a3d0f75b97fd10c52d8aceef33,2,0,1,1,4
3bec77cad0e4b4ed676490c6d4de5977c961e696,2,0,1,1,4
0c33188dd394af693bd7f867cb2b4c8f392a415f,2,0,2,1,5
2a584d39eb8b164d066dbc8e7496c9a9ff39bc30,2,0,1,1,4
2d0285c90976dfa43d58eca6b7d1d7ef29994fc2,1,0,1,1,3
d23c6a066a58dbe5ec5fa57e67f1b795337299f7,1,0,1,1,3
e350e1b4aab99c73d0e0d03121b50c059c04fd61,1,0,1,1,3
2b2903114784318062dabce86e330fbbe9309aa8,1,0,1,1,3
8f9f22f0d245cf41e5047230fa1c907b47a734ac,1,0,1,1,3
0aef63f4f4c4cb195e71b50d0c6e721aba9f2a81,1,0,1,1,3
7c36bbbb2505c7eefacad040c39bd5b167969ad2,1,0,1,1,3
b7e0f3776f44e29508da3d6150d63790e7f38d9e,1,0,2,1,4
d1f35ee252fdb019a824ad4778e8e220c27fc608,1,0,1,1,3
af10fafcbc7f54b2c2cf780db5ccf5a2b4a1c985,1,0,5,1,7
22b6982820cdeb330dc2086ea69713f6e109a671,1,0,1,1,3
