SHA,coronavirus,movement,control,strategy,secondary,transmission,health,care,community,sum
f0dea096a4f73085b277b6977c8c3367b2957a6e,2,0,0,0,1,1,6,5,0,13
6afa8c5639ac39717e68778d7637ac300fe4c2e2,1,0,2,0,0,3,4,4,0,9
140fd07c5decc5a768d4cd4fd269a7343dc62092,2,0,1,0,0,2,4,3,0,9
fd51530ed73c17ccd16690c0bfa046be2f360f7f,1,0,0,1,0,3,4,3,0,8
849f0d4e93647e40b3a6f0841ebb2dd6a890a6b7,1,0,0,0,0,0,3,4,0,8
af89f711e9ccd2f3d7156d7210a06aeac825763c,1,0,0,0,0,1,3,3,0,7
496c9b4e424bc052895fd0c9446e14f565dcaae5,1,0,1,2,0,0,3,3,0,7
beb38f99a59fa3129e34eadfc28c9d46438ec820,1,0,1,2,0,0,3,3,0,7
62ebdb104b74f9fb6c2a4da65ef0b3ea6f55774e,1,0,0,0,1,1,3,2,0,6
a79eda4de7857a7fe88b83a1cc494013c23fc048,1,0,0,0,0,2,3,1,1,5
c9e7e150660f8d9969e8adeba5fb0110ffb17a80,2,0,0,0,0,0,3,1,0,6
9cc75dfad38021c422145fb2fcb2ea10155fc9a1,1,0,3,1,0,1,2,3,0,6
96775ec12c4441b3acb9b9743a9827cc381471cc,1,0,1,0,0,5,2,2,0,5
eaf89905f4e044366327ca15b97b47a03c79883a,1,0,0,0,0,3,2,2,0,5
679aafff5a2403fb48ab7bf416b6d5d97c02b798,1,0,3,0,0,2,2,2,1,5
70fd2c4e38970a59c42925daef90f674d7b21302,1,0,0,0,0,3,2,2,0,5
fd606942b39e160390d5d5f09962ed7727387da3,1,0,0,0,0,3,2,2,0,5
eb856c32c1a41e6513729e126e84e639ce4f5a68,1,1,1,0,0,0,2,1,0,4
b9774fe2b5e6e752ff1e59bd6b2e46d7815b4a49,1,0,0,0,0,1,2,1,0,4
162b902c4576787077112f6bdb1e4e5bc7b93d1f,1,0,1,0,0,1,2,1,0,4
659146062766f5f3a552e1542af0825cc0efd443,1,0,0,0,0,0,2,1,0,4
e52ecf4b22e9dcb340ccf67f0251b5a3f9373f02,1,0,0,0,0,0,2,1,0,4
e594dcc4d1864621d24cc6ffbc70a88a5ae1207d,1,0,0,1,0,0,1,2,0,4
689fd267c4b50d1031cd47d18361f76f3275db55,3,0,1,0,0,1,1,2,0,6
5780934491c3921faafedbc9feaab8b434ca3c8d,2,0,0,0,0,1,1,2,1,5
1218f278a4f8d83dac14b23c8f698062812ef9d5,1,0,2,0,0,4,1,1,0,3
c672f5b0d7c0a40f7cc1bdf079066d72eb8f64ec,3,0,0,0,0,0,1,1,0,5
48f486ccea11b4ba01186e287124316c962857f7,2,0,0,0,0,0,1,1,0,4
6c91b00faa16142426820016ad3a7847fc77c8e4,2,0,0,0,0,0,1,1,0,4
7df37eb3cc184f38b1d97fe12f7176b5da78f77f,1,0,0,0,0,0,1,1,0,3
28fbe1da18bb4a2e0f8a42013e14794b6f3038f4,1,0,1,0,0,0,1,1,0,3
dc38fa3321df5137294140ffe1a358399befb500,1,0,1,0,0,0,1,1,0,3
b2a382ff964250dde3c7387b87bd244b27e4f81d,1,0,0,1,0,1,1,1,0,3
cfd0dbf05b77b0d303aaa222ae0f4e8d77d6f61b,2,0,0,0,0,2,1,1,0,4
39fae6df128e98e970b22ea35cebdaaac78a647e,1,0,0,0,0,1,1,1,0,3
1703fbc6de47798061e7ec8d87182906fedab8e3,2,0,2,0,0,3,1,1,1,4
a7655a74468e485dfd7f45390c5be4c4aa9361a8,2,0,0,0,0,0,1,1,0,4
b31dc72ffc01a849e4f2fce7ddd09067cfc82770,1,0,1,0,0,0,1,1,0,3
fc6ab4b693bda93d6d96fed4c7ffba6510d04e0e,1,0,0,0,1,2,1,1,2,3
1567b15f056268a550ea0d0409437f11b1167f3a,1,0,0,0,0,0,1,1,0,3
7a8804b701a33bef70d4df637dcb844b9fcc729f,1,0,0,0,0,0,1,1,1,3
9fd4c7331c270aa0f93c5037f0b23327e17c0f24,1,0,0,0,0,0,1,1,0,3
b598a95bfd167cd22b0cd970d0218a7aebc0213d,1,0,4,0,0,5,1,1,1,3
f02dfef2035b19d983f4687dda7a732f68be7d87,1,0,0,0,0,0,1,1,0,3
47a84189ed7393a9b8272f3e8d0eedd37aebc528,1,0,0,0,0,0,1,1,0,3
d2b1853aae556beaf9e1bc9d802642fffe35cf68,1,0,0,0,0,0,1,1,0,3
361e12416e0ff49f28521c2dc5fc69934e419910,1,0,0,0,0,0,1,1,0,3
864f47aa4e296a8c980b6dc16b381257e3b633e7,1,0,1,0,2,1,1,1,0,3
0104f6ceccf92ae8567a0102f89cbb976969a774,1,0,1,1,0,0,1,1,0,3
579abc4fbba82c576047e3380164685a99c22673,1,0,0,0,0,0,1,1,0,3
98d2abc9da8393119f521c4ec133e269379c0d1a,2,0,2,0,0,1,1,1,1,4
fce3506fcb7fa163babc7f4e959283ecbe346bc9,1,0,1,0,0,0,1,1,0,3
