SHA,persistence,urine,blood,coronavirus,sum
1b5064ad9a2828b30813ac5634d98b5da2f1d3d9,5,0,0,1,6
0f880cb0b394ac20be2a2868fecaefd4d8f341b3,3,0,0,2,5
0bb97577b1f4c0a5f456ac10d593b4c46f285e9c,4,0,0,1,5
072ad3450fc4330b8fd7d17f8a3ce50e4089f366,2,0,0,3,5
0b064096b51c4cada7b64af37eae826b7e7c9649,4,0,0,1,5
f95dff44aae700378dd3746ea194c9a31a7b15b8,1,0,0,3,4
174343198c4b635e037881d4492f9cee627b14bf,3,0,0,1,4
427a3e2947a3a75b52e4fdfef9a1832965e5dd82,1,0,0,2,3
3677789674e47d9e9b35f87c659430e5295370e9,1,0,0,2,3
cdc329678216ba082e673fe9ecebca5353dc9060,1,0,0,2,3
82d76d619e7be4f0ef2490f933d140ec9f722a55,2,0,0,1,3
d6c20ed949cb8f78cf2c780ec747a60be3ad2aed,2,0,0,1,3
98b433f47b392ae93d124c96efa8df3385f72d5b,1,0,0,2,3
d495854289e2ffd80ba9ac86688abe6c7577b545,1,0,0,2,3
41a75f80c918b30ee2e8e4f3d4dc08c5f0fdca29,2,0,0,1,3
ebe8d3845bdfbc11f865667d68399c4862551d30,1,0,0,1,2
11217ee4e2bcf58f21011db8ff3d166aad2691ca,1,0,0,1,2
622504276a8cd63e834d19f7b3c26ca4c2bbcb40,1,0,0,1,2
49471df378964515ebc4e4f35f1248d84ac7d626,1,0,0,1,2
59e45ad7bef66215b7f2b136cc5cac6aa5531178,1,0,0,1,2
42f1480043410036a951d26bfd4a90ac5506c2f2,1,3,0,1,2
741d9ac96e2951be86d4f57d5dac2121953fe3bc,1,0,0,1,2
84a54b3906aed4a44202aca1e9add0ab2a44c07a,1,0,1,1,2
389612b52a4489f9be2109a5eb0060499a0f7c15,1,0,0,1,2
3c440b07b2bc59e8483537e994bbd7ac0030801a,1,0,0,1,2
5ae438eff01ac41a451ff26064c3346805d1c1dc,1,0,0,1,2
d3c2e2839498c613ee95739dce7052109750362c,1,0,0,1,2
