SHA,history,coronavirus,shed,shedding,natural,sum
fb63b69994ff9a8008a340abf1d2451b2de93e85,0,2,13,2,1,4
a0b93413291741edef6702805b014946e257e333,0,3,0,1,0,4
907e0aeb8ff4521f9f952c640a9ef34aa5cc9998,0,1,10,2,0,3
c937408769e2f3c0b69ce74cdf40822cbb2687c0,0,2,0,1,0,3
d6c20ed949cb8f78cf2c780ec747a60be3ad2aed,0,1,1,2,0,3
0e536891c4d89b74cea0ed4788fc8e3bff5a6787,0,1,0,1,0,2
f849d3e71f4d2eae8a1e39802195bc9c06fc30ae,0,1,0,1,0,2
e9c899d06f0e31a0d2c58cd4d82edb0086f9ed04,0,1,0,1,0,2
577c6a13f9ef70e9756890fc66e98f537c01ac0a,0,1,1,1,0,2
e3200c0afb814f23b81e5e827d5640f034533eb7,1,1,1,1,0,2
4f22ff2c7ce145ff907bcd3d5fd71ae8d9083492,0,1,1,1,0,2
c5fa97f3c08e5b88b1081d261c675cf9f0fea73b,0,1,2,1,0,2
ba4844fd689c46fec13b4c5f8f184bb3b02f0d4a,0,1,4,1,0,2
78dbccb9c48475f599da9922e4ba3f039a224997,0,1,4,1,0,2
