SHA,diagnosis,diagnostic,clinical,process,coronavirus,sum
b2eef726fe46a8ddef327c78e7d5affbfd2fe69c,1,0,1,0,8,10
357af8bb837fb3521423284fa624316d0965bfa3,3,0,4,0,2,9
71fc916026a1aa9e7f9198598faba8bb53d445af,3,0,5,0,1,9
ca9ed72cea16dc3044bb2ebc71de7da849dbec36,1,0,1,0,5,7
52f7ce8a277b0c5313393f426055de63f73acb63,1,1,5,0,1,7
88fda71a3c0b92de587a797b3490442822bac919,1,0,3,0,3,7
5645bc52d703b021b132a5bb5ca1702809db4cb5,2,2,4,0,1,7
0bfd20585f0b6915dbc9726ce66e81375c90abc3,2,2,2,0,2,6
701b4a2eb732847ff97ecb301a1f91309f99d529,2,0,1,0,3,6
ba8577fbe95f71f3482edea00b9e7579bc360799,1,0,1,0,4,6
a58188b9bbdfc35ef7685bbbc627b44bc2bc19db,1,0,1,1,4,6
5a2b335f389f88025ca1994a95e220479646d581,1,7,3,0,2,6
4a81853bb03914c8d2b1182e0aa2959f5fe897b8,2,0,3,0,1,6
53d4dd6acd3501c47b364dbae1ba3dd2083b895a,1,0,2,0,3,6
b2a382ff964250dde3c7387b87bd244b27e4f81d,3,0,2,0,1,6
c66b53fa3a31eb9fcc20c56830c89061b7caed49,1,0,2,0,2,5
1546d1e182af6c416abe66319b6464083d730a5c,2,0,2,0,1,5
7a487e5cda0d3abdadee013502604c795cb0f736,1,1,3,0,1,5
0e44cf0bec7179401a27d70917da6fe52da1742c,2,0,2,0,1,5
8ba5dddd496123ce104b7c7dd921809d24c3b54e,2,0,2,0,1,5
76d446112561ab0100feb5323f071191e0aa02c6,1,0,3,0,1,5
840923a2e3341074eff3a693b2d8169fb2dc199f,1,2,3,0,1,5
b579c3547bba2a33057373d57b7c05f37dd4cfc3,2,0,2,0,1,5
655800fc045d6a10f79b6df42a2e61a7e1e64940,2,0,2,0,1,5
70c808964a5493574ac4507e63caca9a59905c47,2,2,1,0,2,5
1fdc310384ece61abf6f970ee4fe8237636f2ff2,3,0,1,0,1,5
b2342adca6443124098da5af97e1a9639da8be46,3,0,1,0,1,5
1628fb770b782044ef43a9c63252b5d3b25a38ba,1,0,1,0,3,5
2b58bbfda258eb6660c773205061af9b10876d95,1,0,1,0,2,4
e92b5c036c9ce25108a60ce3ec7464c78b9a0b4a,1,2,2,0,1,4
d6312a8c62ddbad1ed157777ba3bfdcaa9e1d017,1,0,2,0,1,4
a6700a5f81c68db07a306565b71f24250e78ac1a,1,0,2,0,1,4
cf59880eeeacd9bb3b26086f79ebf01ff413d6a9,2,1,1,0,1,4
591779cb69e83083aa7b2d9b031983c802ba2405,1,0,2,0,1,4
1b09d616ad68acac58e898977c82e884db5995f1,2,0,1,0,1,4
55461f69aec24f255e9bbdda2e286e08c4999510,2,0,1,0,1,4
c8e4ac9f004ae54624029f8717465836a19a1d39,2,0,1,0,1,4
9aef9e1c22896809852ec6c94e413aff33b3d9cf,1,0,1,0,2,4
f294f0df7468a8ac9e27776cc15fa20297a9f040,1,0,1,0,2,4
fd4ab143e7dd8db7255b11177505986e87b50943,2,1,1,0,1,4
