SHA,disease,model,infection,transmission,animal,sum
58bc0f2712ea1ced1f886c9fdd17b8cf014e66cb,5,10,4,1,0,19
5a0512f674192c9d6b90e0d6e44fa68b8db06fbd,1,10,2,0,1,13
20ffac4c770cdeddac944a1de2f94c09aef939f1,4,9,2,0,0,15
2ab40cd143985f0fe1f581a31c3aa4009e94e759,1,9,1,0,0,11
c0aab944289f83044c72b64bf0726624f1b244ce,1,9,2,1,0,12
943576d41ee9cd2a8be3379fa2ff1bc8963a3202,2,8,1,0,0,11
91df62f28da6d25c7b5ba9383b75fff8e546f6db,1,8,2,2,0,11
eccdf56c0564f35ba8e293bfd967e98b822bfef2,1,8,3,0,1,12
2264a7f6a968665b70a4a06c73e096e0710fc3f0,1,8,12,0,1,21
53452a9572ffc6335559670542e53cefc5bfeca0,7,7,2,3,0,16
e023845ba693ca1f8667d37d40b02626a6c2ecd5,2,7,1,1,0,10
0c3b3ae35af5de4b137bc3b40d6bf707c6b43cbc,7,6,3,0,0,16
d1f0b5426cd092d2418eebffd0f2146313ac4e11,6,6,1,1,0,13
4d5640c129096fd8a4da9d32030420def86285e5,5,6,4,0,1,15
ff2a6501716b8ff2b5e96ef3034f15309ce90c43,4,6,2,1,0,12
83b302c75378ce58e35ef93b6214a6ec330998c1,3,6,1,1,0,10
2c264678f00981a617d28e8b9849224f70f514d0,3,6,1,0,0,10
31e026d0f362c898b82e46b1710b968ff2490178,3,6,1,3,0,10
c566c4ebfc7530f0599af5867aa5f8ef56cab508,3,6,2,1,0,11
4a57f2f528842aa5dc0fd95788f524bc9b4b03bd,2,6,1,0,4,9
955b36f4b007abbfaa28385a627b03e2102313d9,2,6,6,1,0,14
c66b53fa3a31eb9fcc20c56830c89061b7caed49,2,6,3,0,4,11
871bc5983e4188a32f9cfda1adb07fdbf760f891,2,6,1,0,1,9
3a61f7827071a1fa3cd34e1036c13dbcf9156f5a,2,6,1,0,3,9
4f4a156d0bc65afd5d8f5b80b4bb8436a590955a,1,6,1,0,0,8
735f16512dc187e8d6db112b11d7ddf047838f86,1,6,1,0,1,8
abd5833ba0f868ce51622b090b9121b3be9c08dc,1,6,2,0,4,9
ab9abbe85c17fc97b9b10fefa729dae44c12c65d,8,5,1,2,0,14
1af9746ea8f584f3f58da4f59d6dba8185f8be4b,6,5,2,2,0,13
554f6f5ca9031e8c6dd85eb32f3ad3e6c222c18f,4,5,1,0,0,10
1d9cb8627ae667d02342d17537291907cb65a53e,4,5,2,0,0,11
c351ce11cb0157d1118dfcbb55cf9f8bab0ad35d,3,5,1,0,0,9
f837cfe73ee695265382ec9873726fcd7b24d9b1,3,5,1,0,2,9
8e29fa03ad2ae833e99f41652cc543877d415c44,3,5,2,0,3,10
