,0,1
0,many,child
1,identify,child
2,child,lactam
3,identifying,child
4,child,health
5,child,infected
6,4yearold,child
7,finding,child
8,child,discontinued
9,subsidized,child
10,satisfactory,child
11,alternative,child
12,consider,child
13,multiplying,child
14,child,showed
15,child,care
16,providing,child
17,child,vomiting
18,high,child
19,provide,child
20,child,cases
21,primary,child
22,immunocompromised,child
23,immunesuppressed,child
24,another,child
25,one,child
26,confirmed,child
27,adequate,child
28,find,child
29,whether,child
30,compromised,child
