,0,1
0,overcoming,economic
1,economic,feasibility
2,economic,burden
3,american,economic
4,economic,impact
5,economic,burdens
6,european,economic
7,economic,crisis
8,estimate,economic
9,predicted,economic
10,economic,costs
11,economic,integrity
12,economic,troubles
13,economic,barriers
14,economic,brunt
15,undergoing,economic
16,economic,review
17,economic,development
18,economic,incentives
19,economic,activities
20,regional,economic
21,reduced,economic
22,reduce,economic
23,economic,value
24,economic,cost
25,economic,growth
26,reduces,economic
27,economic,status
28,higher,economic
29,total,economic
30,global,economic
31,economic,factors
32,economic,output
33,lower,economic
34,economic,losses
35,economic,disruption
36,economic,activity
37,economic,impacts
38,economic,considerations
39,economic,instability
40,ongoing,economic
41,accurate,economic
42,economic,returns
43,economic,mediating
44,economic,database
45,economic,modeling
46,significant,economic
47,economic,booms
