,0,1
0,10,pregnant
1,9,pregnant
2,ill,pregnant
3,nine,pregnant
4,pregnant,patients
5,including,pregnant
6,infecting,pregnant
7,pregnant,74
8,176,pregnant
9,seven,pregnant
10,two,pregnant
11,infected,pregnant
12,14,pregnant
13,pregnant,group
14,22,pregnant
15,vaccinate,pregnant
16,three,pregnant
17,among,pregnant
18,30,pregnant
19,pregnant,woman
20,41,pregnant
21,sixteen,pregnant
22,pregnant,groups
23,laboratoryconfirmed,pregnant
24,12,pregnant
25,pregnant,women319
26,clinicallydiagnosed,pregnant
27,eleven,pregnant
28,375,pregnant
29,affected,pregnant
30,289,pregnant
31,pregnant,women
32,pregnant,cases
33,one,pregnant
34,whether,pregnant
