,0,1
0,large,incubation
1,220,incubation
2,incubation,estimation
3,investigate,incubation
4,preprint,incubation
5,incubation,data
6,investigating,incubation
7,estimated,incubation
8,smaller,incubation
9,incubation,sample
10,incubation,period
11,infection,incubation
12,incubation,time
13,inferring,incubation
14,distributed,incubation
15,incubation,delay
16,median,incubation
17,longer,incubation
18,incubation,dataset
19,incubation,segments
20,actual,incubation
21,estimate,incubation
22,incubation,rate
23,incubation,distributions
24,incubation,scales
25,incubation,days
26,fitted,incubation
27,incubation,samples
28,incubation,statistics
29,incubation,periods
30,incubation,difference
31,group,incubation
32,incubation,duration
33,mean,incubation
34,accurate,incubation
35,reported,incubation
36,sampled,incubation
37,shows,incubation
38,different,incubation
39,groups,incubation
40,small,incubation
41,days,incubation
42,pathogens,incubation
43,incubation,median
44,maximum,incubation
45,possible,incubation
46,fit,incubation
47,medicine,incubation
48,remaining,incubation
49,estimating,incubation
50,male,incubation
51,incubation,using
52,exact,incubation
53,whose,incubation
54,incubation,relationships
55,incubation,mean
56,general,incubation
57,asymptomatic,incubation
58,incubation,bypass
59,18,incubation
60,incubation,variance
61,incubation,information
62,incubation,periodτ
63,long,incubation
64,used,incubation
65,incubation,times
66,investigated,incubation
67,middle,incubation
68,unique,incubation
69,shorter,incubation
70,incubation,effects
