,0,1
0,included,cancer
1,frequent,cancer
2,cancer,patients
3,consecutive,cancer
4,cancer,radiation
5,28,cancer
6,kettering,cancer
7,cancer,represents
8,care,cancer
9,cancer,type
10,whether,cancer
11,among,cancer
12,cancer,patient
13,cancer,treatment
14,febrile,cancer
15,cancer,center
16,without,cancer
17,reject,cancer
18,cancer,research
19,cancer,intensive
20,managing,cancer
21,cancer,oxf
22,gastric,cancer
23,cancer,management
24,j,cancer
25,18,cancer
26,specialist,cancer
27,cancer,consensus
28,cancer,infected
29,essential,cancer
30,cancer,experts
31,rare,cancer
32,cancer,b
33,adult,cancer
34,lung,cancer
35,teenage,cancer
36,neutropenic,cancer
37,bowel,cancer
38,cancer,might
39,cancer,required
40,tertiary,cancer
41,infected,cancer
42,breast,cancer
43,cancer,survival
44,cancer,treated
45,colorectal,cancer
46,cancer,based
47,cancer,receiving
48,comprehensive,cancer
49,cancer,surgery
