,0,1
0,infect,control
1,effective,control
2,massive,control
3,control,possible
4,control,nosocomial
5,improving,control
6,control,precautions
7,control,guidelines
8,may,control
9,control,reactions
10,control,hosp
11,control,animal
12,disease,control
13,control,material
14,control,plan
15,control,system
16,control,measures
17,corresponding,control
18,control,facilities
19,quality,control
20,current,control
21,infection,control
22,useful,control
23,subsequent,control
24,control,options
25,control,practices
26,control,strategies
27,control,caused
28,epidemics,control
29,glucose,control
30,inform,control
31,optimal,control
32,control,hev
33,control,procedure
34,control,sars
35,control,programmes
36,control,within
37,control,group
38,control,strategy
39,control,soon
40,inducible,control
41,control,recommendations
42,effectively,control
43,control,rna
44,control,severe
45,tertiary,control
46,transmission,control
47,enhancing,control
48,positive,control
