SHA,public,health,control,covid,coronavirus
e1b312167d5ea6a1ed3c071b05b7bd0a48a975df,7,4,3,0,1
7e6a3be51808891b99a73f57faaa454670055e45,3,3,3,0,1
53633e0dad6b1d750f45e9ff280c78075267f731,3,3,3,0,1
fd28e6d03eef27b0454f13ca539dc1498242a4c2,2,3,3,0,1
6abb30ae61aa5e41f16a28b9437940d5d76d745b,2,2,3,2,2
7e84a68e753fa2734beff117c24743d13b021c82,1,2,3,0,1
469ed0f00c09e2637351c9735c306f27acf3aace,2,1,2,0,4
01b50fc23a12266022e2fdb79b3cd5fe317d3856,1,3,2,0,2
a67a570efab57b9f2492a652c0c17f47546416c4,1,2,2,0,2
badbdc6b3c6da8edee24cc4147009d6cbce08fd2,1,2,2,0,2
977370a5432431d0680323ce3f9e67db65f5f7b1,1,1,2,0,5
7ee83287692dd2e39ce626028890e121639abbfc,1,1,2,0,1
de2b71bc5b1434f5bd2021ce60cb9577f1e469b2,1,1,2,0,1
fab32444594a7c25009ffcd48e91c923f5f0316f,1,1,2,0,1
ee6e4fcb9272a59d35f6ec53be5a8cff4d8c0b21,4,2,1,0,2
